name,population,region
Абакан,179163,Республика Хакасия
Альметьевск,152580,Республика Татарстан
Ангарск,226776,Иркутская область
Арзамас,104785,Нижегородская область
Армавир,191007,Краснодарский край
Артем,105338,Приморский край
Архангельск,351226,Архангельская область
Астрахань,531719,Астраханская область
Ачинск,105364,Красноярский край
Балаково,192359,Саратовская область
Балашиха,428400,Московская область
Барнаул,635585,Алтайский край
Батайск,122247,Ростовская область
Белгород,387090,Белгородская область
Бердск,102808,Новосибирская область
Березники,146626,Пермский край
Бийск,203826,Алтайский край
Благовещенск,224335,Амурская область
Братск,234147,Иркутская область
Брянск,405921,Брянская область
Великий Новгород,221868,Новгородская область
Владивосток,606653,Приморский край
Владикавказ,307478,Респ. Северная Осетия-Алания
Владимир,354827,Владимирская область
Волгоград,1016137,Волгоградская область
Волгодонск,170558,Ростовская область
Волжский,325895,Волгоградская область
Вологда,312686,Вологодская область
Воронеж,1032382,Воронежская область
Грозный,287410,Чеченская Республика
Дербент,122354,Республика Дагестан
Дзержинск,233126,Нижегородская область
Димитровград,116678,Ульяновская область
Долгопрудный,100567,Московская область
Домодедово,116950,Московская область
Евпатория,106202,Республика Крым
Екатеринбург,1444439,Свердловская область
Елец,105384,Липецкая область
Ессентуки,105881,Ставропольский край
Жуковский,108427,Московская область
Златоуст,169057,Челябинская область
Иваново,408025,Ивановская область
Ижевск,643496,Удмуртская Республика
Иркутск,623424,Иркутская область
Йошкар-Ола,265044,Республика Марий Эл
Казань,1216965,Республика Татарстан
Калининград,459560,Калининградская область
Калуга,341986,Калужская область
Каменск-уральский,170221,Свердловская область
Камышин,112501,Волгоградская область
Каспийск,110080,Республика Дагестан
Кемерово,553076,Кемеровская область
Керчь,148932,Республика Крым
Киров,496986,Кировская область
Кисловодск,129993,Ставропольский край
Ковров,139280,Владимирская область
Коломна,143578,Московская область
Комсомольск-на-Амуре,251283,Хабаровский край
Копейск,146146,Челябинская область
Королёв,221129,Московская область
Кострома,276691,Костромская область
Красногорск,144614,Московская область
Краснодар,853848,Краснодарский край
Красноярск,1066934,Красноярский край
Курган,325189,Курганская область
Курск,443212,Курская область
Кызыл,115871,Республика Тыва
Липецк,510020,Липецкая область
Люберцы,190480,Московская область
Магнитогорск,417563,Челябинская область
Майкоп,144055,Республика Адыгея
Махачкала,587876,Республика Дагестан
Миасс,151387,Челябинская область
Москва,12330126,Москва
Мурманск,301572,Мурманская область
Муром,110070,Владимирская область
Мытищи,201130,Московская область
Набережные Челны,526750,Республика Татарстан
Назрань,113288,Республика Ингушетия
Нальчик,239040,Кабардино-Балкарская Респ.
Находка,153581,Приморский край
Невинномысск,117891,Ставропольский край
Нефтекамск,125915,Республика Башкортостан
Нефтеюганск,125368,Ханты-Мансийский АО-Югра
Нижневартовск,270846,Ханты-Мансийский АО-Югра
Нижнекамск,236197,Республика Татарстан
Нижний Новгород,1266871,Нижегородская область
Нижний Тагил,356288,Свердловская область
Новокузнецк,551253,Кемеровская область
Новокуйбышевск,103908,Самарская область
Новомосковск,126479,Тульская область
Новороссийск,266977,Краснодарский край
Новосибирск,1584138,Новосибирская область
Новочебоксарск,125489,Чувашская Республика
Новочеркасск,170233,Ростовская область
Новошахтинск,109020,Ростовская область
Новый Уренгой,111163,Ямало-Ненецкий АО
Ногинск,101847,Московская область
Норильск,177428,Красноярский край
Ноябрьск,106631,Ямало-Ненецкий АО
Обнинск,111360,Калужская область
Одинцово,141317,Московская область
Октябрьский,113626,Республика Башкортостан
Омск,1178079,Омская область
Орёл,319651,Орловская область
Оренбург,562569,Оренбургская область
Орехово-Зуево,120165,Московская область
Орск,231104,Оренбургская область
Пенза,524632,Пензенская область
Первоуральск,124981,Свердловская область
Пермь,1041876,Пермский край
Петрозаводск,277111,Республика Карелия
Петропавловск-Камчатский,180963,Камчатский край
Подольск,293765,Московская область
Прокопьевск,198438,Кемеровская область
Псков,208145,Псковская область
Пушкино,107143,Московская область
Пятигорск,145448,Ставропольский край
Раменское,109709,Московская область
Ростов-на-Дону,1119875,Ростовская область
Рубцовск,146386,Алтайский край
Рыбинск,191840,Ярославская область
Рязань,534762,Рязанская область
Салават,153973,Республика Башкортостан
Самара,1170910,Самарская область
Санкт-Петербург,5225690,Санкт-Петербург
Саранск,307698,Республика Мордовия
Саратов,843460,Саратовская область
Севастополь,416263,Город фед. знач. Севастополь
Северодвинск,185075,Архангельская область
Северск,108134,Томская область
Сергиев Посад,104994,Московская область
Серпухов,126586,Московская область
Симферополь,336460,Республика Крым
Смоленск,328906,Смоленская область
Сочи,401291,Краснодарский край
Ставрополь,429571,Ставропольский край
Старый Оскол,222125,Белгородская область
Стерлитамак,279692,Республика Башкортостан
Сургут,348643,Ханты-Мансийский АО-Югра
Сызрань,174559,Самарская область
Сыктывкар,243536,Республика Коми
Таганрог,251050,Ростовская область
Тамбов,288414,Тамбовская область
Тверь,416442,Тверская область
Тольятти,712619,Самарская область
Томск,569293,Томская область
Тула,485930,Тульская область
Тюмень,720575,Тюменская область
Улан-Удэ,430550,Республика Бурятия
Ульяновск,621514,Ульяновская область
Уссурийск,168598,Приморский край
Уфа,1110976,Респ. Башкортостан
Хабаровск,611160,Хабаровский край
Хасавюрт,138420,Республика Дагестан
Химки,239967,Московская область
Чебоксары,480741,Чувашская Республика
Челябинск,1191994,Челябинская область
Череповец,318536,Вологодская область
Черкесск,123128,Карачаево-Черкесская Респ.
Чита,343511,Забайкальский край
Шахты,236749,Ростовская область
Щёлково,123520,Московская область
Электросталь,158479,Московская область
Элиста,104005,Республика Калмыкия
Энгельс,224213,Саратовская область
Южно-Сахалинск,193669,Сахалинская область
Якутск,303836,Республика Саха (Якутия)
Ярославль,606703,Ярославская область
