name,population
Абакан,184168
Альметьевск,155988
Ангарск,225772
Арзамас,104140
Армавир,190709
Артем,106692
Архангельск,349742
Астрахань,533925
Ачинск,105259
Балаково,189829
Балашиха,468221
Барнаул,632372
Батайск,126769
Белгород,391554
Бердск,103578
Березники,143072
Бийск,201914
Благовещенск,225091
Братск,229286
Брянск,405723
Великий Новгород,222868
Владивосток,604901
Владикавказ,306258
Владимир,357024
Волгоград,1013533
Волгодонск,171729
Волжский,325224
Вологда,312420
Воронеж,1047549
Грозный,297137
Дербент,123720
Дзержинск,230639
Димитровград,115253
Долгопрудный,108861
Домодедово,127850
Евпатория,106777
Екатеринбург,1468833
Елец,104349
Ессентуки,108679
Железногорск,100740
Жуковский,108187
Златоуст,166885
Иваново,406113
Ижевск,648213
Иркутск,623869
Йошкар-Ола,268272
Казань,1243500
Калининград,475056
Калуга,340851
Каменск - Уральский,168997
Камышин,111100
Каспийск,116340
Кемерово,558973
Керчь,150573
Киров,507155
Кисловодск,129593
Ковров,137594
Коломна,142691
Комсомольск-на-Амуре,248254
Копейск,148136
Королёв,222952
Кострома,277280
Красногорск,161525
Краснодар,899541
Красноярск,1090811
Курган,318045
Курск,448733
Кызыл,116983
Липецк,509735
Люберцы,202918
Магнитогорск,416521
Майкоп,141970
Махачкала,596356
Миасс,151673
Москва,12506468
Мурманск,295374
Муром,109072
Мытищи,211606
Набережные Челны,532472
Назрань,117936
Нальчик,239300
Находка,149316
Невинномысск,117446
Нефтекамск,127821
Нефтеюганск,126998
Нижневартовск,275429
Нижнекамск,237942
Нижний Новгород,1259013
Нижний Тагил,353950
Новокузнецк,553638
Новокуйбышевск,102075
Новомосковск,124787
Новороссийск,273278
Новосибирск,1612833
Новочебоксарск,126626
Новочеркасск,168022
Новошахтинск,108345
Новый Уренгой,114837
Ногинск,102592
Норильск,179554
Ноябрьск,106930
Обнинск,115029
Одинцово,140537
Октябрьский,113827
Омск,1172070
Оренбург,564773
Орехово-Зуево,118822
Орск,229255
Орёл,315308
Пенза,523553
Первоуральск,123655
Пермь,1051583
Петрозаводск,279190
Петропавловск-Камчатский,181216
Подольск,302831
Прокопьевск,194084
Псков,210501
Пушкино,105479
Пятигорск,145885
Раменское,116077
Реутов,103779
Ростов-на-Дону,1130305
Рубцовск,144128
Рыбинск,188678
Рязань,538962
Салават,152354
Самара,1163399
Санкт-Петербург,5351935
Саранск,318841
Саратов,844858
Севастополь,436670
Северодвинск,183255
Северск,107494
Сергиев Посад,103444
Серпухов,125817
Симферополь,341799
Смоленск,330025
Сочи,424281
Ставрополь,433931
Старый Оскол,224153
Стерлитамак,279626
Сургут,366189
Сызрань,171336
Сыктывкар,245083
Таганрог,249848
Таганрог,249848
Тамбов,293661
Тверь,420065
Тольятти,707408
Томск,574002
Тула,482873
Тюмень,768358
Улан-Удэ,434869
Ульяновск,626540
Уссурийск,172017
Уфа,1120547
Хабаровск,618150
Хасавюрт,141259
Химки,250688
Чебоксары,492331
Челябинск,1202371
Череповец,317970
Черкесск,122395
Чита,349005
Шахты,233814
Щёлково,125634
Электросталь,158226
Элиста,103132
Энгельс,226176
Южно-Сахалинск,198973
Якутск,311760
Ярославль,608722
